date,requests,pageViews,uniques
2023-11-29,66864,4581,2700
2023-11-30,61963,4918,2394
2023-12-01,55673,4424,2369
2023-12-02,38640,2969,1916
2023-12-03,40682,3710,1827
2023-12-04,159035,11697,7694
2023-12-05,71286,5657,3352
2023-12-06,52915,4284,2481
2023-12-07,49848,4430,2481
2023-12-08,47804,3531,2113
2023-12-09,35353,2733,1901
2023-12-10,36090,3316,1892
2023-12-11,51623,4030,2472
2023-12-12,54172,3903,2644
2023-12-13,62835,4523,3249
2023-12-14,56470,4172,3116
2023-12-15,61396,3752,2746
2023-12-16,37657,2938,1702
2023-12-17,55201,3425,2019
2023-12-18,56820,4000,2307
2023-12-19,59715,4038,2419
2023-12-20,60661,3677,2375
2023-12-21,47891,3771,2229
2023-12-22,45065,3027,1965
2023-12-23,36278,2833,1568
2023-12-24,38835,2740,1590
2023-12-25,37014,3193,1516
2023-12-26,37961,2878,1687
2023-12-27,43387,2895,1980
2023-12-28,39743,2946,1870
2023-12-29,42971,2909,1909
2023-12-30,39746,2686,1595
2023-12-31,35917,2754,1535
2024-01-01,41626,2743,1781
2024-01-02,50011,3693,2093
2024-01-03,67844,4457,2589
2024-01-04,66763,4371,2608
2024-01-05,74459,4650,2561
2024-01-06,43735,2943,2063
2024-01-07,44335,3022,1866
2024-01-08,59832,4842,2507
2024-01-09,57736,4304,2509
2024-01-10,52308,4016,2272
2024-01-11,54762,4396,2364
2024-01-12,52838,4425,2297
2024-01-13,37066,3008,1651
2024-01-14,41573,3514,1776
2024-01-15,54179,4958,2760
2024-01-16,47006,4311,2421
2024-01-17,45486,4309,2276
2024-01-18,45927,4249,2246
2024-01-19,40735,3444,2380
2024-01-20,36166,3303,2159
2024-01-21,35731,3067,2157
2024-01-22,49401,3964,2678
2024-01-23,45276,3900,2694
2024-01-24,43440,3745,2366
2024-01-25,46512,4446,2288
2024-01-26,40926,3817,2154
2024-01-27,32057,3347,1801
2024-01-28,35741,3668,2022
2024-01-29,43891,4120,2425
2024-01-30,43717,4397,2576
2024-01-31,39912,3896,2459
2024-02-01,40124,3856,2557
2024-02-02,39564,3578,2227
2024-02-03,32989,2960,1805
2024-02-04,31361,3170,1944
2024-02-05,45107,3935,2640
2024-02-06,45470,3823,2437
2024-02-07,39153,3773,2362
2024-02-08,33984,3453,1892
2024-02-09,38583,3667,2152
2024-02-10,29038,2538,1662
2024-02-11,31037,2633,1830
2024-02-12,43262,3586,2321
2024-02-13,42206,4093,2391
2024-02-14,35851,3359,2222
2024-02-15,35304,3436,2186
2024-02-16,33003,3574,2169
2024-02-17,31720,4844,1830
2024-02-18,29425,2921,1583
2024-02-19,41059,3844,2496
2024-02-20,43098,4288,2412
2024-02-21,37459,3201,2474
2024-02-22,42084,3990,2514
2024-02-23,38980,3375,2434
2024-02-24,28105,2500,1759
2024-02-25,29274,2135,1782
2024-02-26,38228,3749,2229
2024-02-27,40462,4327,2387
2024-02-28,37632,3477,2312
2024-02-29,37281,3917,2183
2024-03-01,51915,4268,2196
2024-03-02,31276,2528,1678
2024-03-03,28118,2539,1627
2024-03-04,43317,4627,2337
2024-03-05,37655,3213,2178
2024-03-06,35241,3457,2087
2024-03-07,33427,3524,1930
2024-03-08,31649,3609,2042
2024-03-09,33905,3689,1833
2024-03-10,31653,2937,1762
2024-03-11,40089,3674,2369
2024-03-12,40741,4369,2262
2024-03-13,36538,3905,2034
2024-03-14,34450,3532,1893
2024-03-15,36888,3812,1887
2024-03-16,33025,3345,1543
2024-03-17,27810,2984,1579
2024-03-18,40917,4598,2161
2024-03-19,44231,3182,2161
2024-03-20,35321,3373,1912
2024-03-21,35591,3234,1884
2024-03-22,33848,3820,1799
2024-03-23,27563,2387,1548
2024-03-24,32719,3209,1499
2024-03-25,37114,3298,2162
2024-03-26,27482,2166,1632
2024-03-27,40652,3722,1960
2024-03-28,41931,3991,2159
2024-03-29,34160,3398,1887
2024-03-30,29429,2964,1589
2024-03-31,24069,2304,1369
2024-04-01,33111,4496,1768
2024-04-02,36638,4476,2260
2024-04-03,31115,3546,2062
2024-04-04,37743,4303,2665
2024-04-05,33447,3287,2067
2024-04-06,27980,3780,1525
2024-04-07,26162,2248,1512
2024-04-08,45283,5912,2615
2024-04-09,40804,4189,2369
2024-04-10,34368,4223,1826
2024-04-11,30070,2714,2060
2024-04-12,27992,2572,1827
2024-04-13,26530,2624,1635
2024-04-14,26775,2970,1325
2024-04-15,34317,3715,1999
2024-04-16,31308,2882,2068
2024-04-17,32743,3564,1877
2024-04-18,31491,2921,1985
2024-04-19,26603,2468,1762
2024-04-20,25030,3097,1288
2024-04-21,26522,3393,1395
2024-04-22,31145,3324,1851
2024-04-23,29699,3132,1709
2024-04-24,27231,3178,1734
2024-04-25,28496,3082,1764
2024-04-26,29190,3704,1684
2024-04-27,18833,1904,1278
2024-04-28,20956,2208,1263
2024-04-29,24916,2810,1901
2024-04-30,22731,2062,1473
2024-05-01,23996,2406,1561
2024-05-02,27101,2695,2009
2024-05-03,30190,2738,1718
2024-05-04,21497,2044,1404
2024-05-05,23356,2894,1229
2024-05-06,34007,4044,1677
2024-05-07,36361,4656,1821
2024-05-08,36195,3380,1982
2024-05-09,28407,2555,1677
2024-05-10,26685,2512,1736
2024-05-11,22407,2681,1176
2024-05-12,21992,2375,1381
2024-05-13,28988,2828,1887
2024-05-14,26489,2539,1704
2024-05-15,34567,4447,1901
2024-05-16,30150,3088,1793
2024-05-17,28954,3252,1632
2024-05-18,20433,2179,1278
2024-05-19,33332,2075,1221
2024-05-20,41568,4378,1762
2024-05-21,43242,6381,1677
2024-05-22,33571,3820,1593
2024-05-23,29992,3075,1838
2024-05-24,30563,2508,1478
2024-05-25,20209,1919,1397
2024-05-26,25998,2118,1410
2024-05-27,31648,2542,1882
2024-05-28,33863,3225,1924
2024-05-29,27107,2891,1610
2024-05-30,29426,3153,1957
2024-05-31,26265,2709,1573
2024-06-01,28380,2731,1473
2024-06-02,34771,3686,1444
2024-06-03,34575,4152,1854
2024-06-04,32067,5019,1686
2024-06-05,29243,3131,1659
2024-06-06,29175,3089,1574
2024-06-07,26537,2473,1573
2024-06-08,28636,3260,1194
2024-06-09,29405,3278,1273
2024-06-10,36920,4228,1742
2024-06-11,38501,3928,1896
2024-06-12,34271,3424,1626
2024-06-13,34519,3173,1549
2024-06-14,25779,2661,1463
2024-06-15,20244,2229,1123
2024-06-16,27443,3598,1153
2024-06-17,27642,3127,1604
2024-06-18,26904,3107,1948
2024-06-19,31997,3696,1478
2024-06-20,28586,3711,1512
2024-06-21,37173,3560,1491
2024-06-22,22866,2738,1228
2024-06-23,18931,1910,1340
2024-06-24,24107,2183,1414
2024-06-25,22921,2856,1344
2024-06-26,26058,2564,1671
2024-06-27,28187,2522,1647
2024-06-28,34550,2859,1730
2024-06-29,20959,2433,1221
